Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Gallium, brooch pin, Temptress, Average Height, in shape, Square Face, Fair Skin, Blonde Hair, Amber Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, saggy breasts, Dangle earrings, fuchsia, stain lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Rhodium, cocktail brooch, Diva, Short, Athletic, Round Face, Olive Skin, Gray Hair, teal Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Tousled Waves, full breasts, Dangle earrings, golden, velvet lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Rhodium, beaded necklace, Vixen, Average Height, Lean, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, blue Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, saggy breasts, Drop earrings, teal, stain lipstick, Pink Floral Corset
Platinum, cocktail brooch, Lady, Average Height, Toned, Oval Face, Tan Skin, Silver Hair, green Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Swept Bangs, soft breasts, Dangle earrings, cream, sheer lipstick, Grey Faux Leather Corset 
Iridium, chain bracelet, Luminary, Average Height, Toned, Triangular Face, Fair Skin, White Hair, amber Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Wavy Layered Bob, round breasts, Hoop earrings, silver, cream lipstick, Cream Sequin Bra and Pant Set
Rhenium, multi-strand necklace, Gal, Short, Athletic, Triangular Face, Olive Skin, Silver Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, French Twist, round breasts, Drop earrings, shimmer, stain lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Cadmium, anklet, Superwoman, Tall, in shape, Oval Face, Olive Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Sleek Straight Hair, natural breasts, Cuff earrings, beige, gloss lipstick, Silver Silk Bra and Panty Set with Garter Belt
Rhenium, toe ring, Maven, Short, Firm, Round Face, Tan Skin, Auburn Hair, blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Bangs with Highlights, soft breasts, Hoop earrings, magenta, matte lipstick, White Sheer Teddy with Lace Trim
Tantalum, vintage brooch, Woman, Short, Skinny, Oval Face, Tan Skin, Red Hair, yellow Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Headband, small breasts, Threader earrings, silver, sheer lipstick, Silver Sequin Bralette
Gold, bib necklace, Femme fatale, Tall, Skinny, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, yellow Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob with Layers, round breasts, Hoop earrings, brown, cream lipstick, Green Sequin Slip Dress with Thigh-High Slits
Palladium, beaded necklace, Queen, Average Height, Narrow Hips, Oval Face, Fair Skin, Red Hair, Hazel Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fauxhawk, round breasts, Drop earrings, beige, matte lipstick, Blue Satin and Lace Cami and Short Set
Ruthenium, multi-strand necklace, Madame, Tall, Slim, Heart-Shaped Face, Tan Skin, Black Hair, Hazel Eyes with Green Flecks, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Braided Headband, natural breasts, Huggie earrings, lavender, metallic lipstick, White Lace Bralette and Boyshorts Set
Rhodium, multi-strand necklace, Phenom, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, turquoise Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, French Braid, round breasts, Hoop earrings, terracotta, gloss lipstick, White Satin and Lace Bra and Panty Set
Germanium, animal brooch, Miss, Tall, Toned, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Long Straight Hair, round breasts, Stud earrings, teal, sheer lipstick, Green Satin Robe with Lace Trim
Germanium, torc necklace, Duchess, Short, Fit, Triangular Face, Dark Skin, Chestnut Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, natural breasts, Dangle earrings, rust, velvet lipstick, Purple Velvet Robe with Fur Trim 
Iridium, vintage brooch, Siren, Short, in shape, Triangular Face, Olive Skin, Chestnut Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Fluffy Afro, asymmetrical breasts, Drop earrings, hot pink, stain lipstick, Olive Green Mesh Garter Belt with Stockings
Ruthenium, ankle strap, Diva, Average Height, Fit, Square Face, Olive Skin, Auburn Hair, yellow Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Twisted Bun, natural breasts, Dangle earrings, gloss, gloss lipstick, Pink Lace Chemise with Ruffle Details
Ruthenium, torc necklace, Vixen, Average Height, Athletic, Triangular Face, Fair Skin, Light Brown Hair, light blue Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Messy Bun, perky breasts, Faux gauge earrings, gloss, cream lipstick, Pink Lace Garter Slip with Matching Thong
Beryllium, cuff bracelet, Miss, Average Height, Wide Hips, Round Face, Dark Skin, Platinum Blonde Hair, Sapphire Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Short Afro, full breasts, Drop earrings, golden, metallic lipstick, Black Lace Bustier
Osmium, pearl necklace, Woman, Average Height, Slim, Triangular Face, Tan Skin, Chestnut Hair, ice blue Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Braided Crown, asymmetrical breasts, Clip-on earrings, light pink, gloss lipstick, Green Satin Robe with Lace Trim
Rhenium, bracelet, Woman, Tall, Wide Hips, Square Face, Fair Skin, Brunette Hair, gold Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Sleek Waves, augmented breasts, Drop earrings, green, cream lipstick, Purple Mesh Babydoll with Matching G-String
Iridium, bracelet, Diva, Average Height, Toned, Square Face, Dark Skin, Platinum Blonde Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Fishtail Braid, full breasts, Huggie earrings, magenta, satin lipstick, Pink Lace Chemise with Ruffle Details
Gold, slave bracelet, Vixen, Tall, Narrow Hips, Oval Face, Dark Skin, Brunette Hair, amber Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Straight Updo, soft breasts, Clip-on earrings, soft pink, stain lipstick, Maroon Satin and Lace Corset 
Palladium, ankle strap, Female Viking, Short, Narrow Hips, Round Face, Olive Skin, Red Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, large breasts, Cuff earrings, orange, satin lipstick, Red Satin Babydoll
Tantalum, tennis bracelet, Countess, Average Height, Fit, Oval Face, Olive Skin, Red Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Low Ponytail, saggy breasts, Stud earrings, brown, metallic lipstick, Red Satin Babydoll
Radium, cuff bracelet, Heiress, Short, Slim, Triangular Face, Olive Skin, Silver Hair, coral Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Top Knot, perky breasts, Cuff earrings, golden, stain lipstick, Green Sequin Slip Dress with Thigh-High Slits
Rhodium, anklet, Miss, Average Height, Firm, Square Face, Dark Skin, Chestnut Hair, ice blue Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Low Updo, large breasts, Faux gauge earrings, hot pink, gloss lipstick, Mint Green Mesh Teddy 
Rhodium, vintage brooch, Dame, Short, Narrow Hips, Triangular Face, Olive Skin, Auburn Hair, teal Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Blunt Bangs, round breasts, Faux gauge earrings, grape, sheer lipstick, Ivory Lace Teddy
Germanium, charm bracelet, Gal, Tall, Toned, Triangular Face, Dark Skin, Strawberry Blonde Hair, silver Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, soft breasts, Stud earrings, peach, stain lipstick, Navy Blue Satin Garter Belt with Suspenders 
Germanium, pendant, Trailblazer, Short, in shape, Triangular Face, Tan Skin, Brunette Hair, gold Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Messy Top Knot, augmented breasts, Faux gauge earrings, plum, metallic lipstick, Blue Strappy Bodysuit with Cutouts
Rhodium, beaded necklace, Enigma, Average Height, Slim, Square Face, Dark Skin, Red Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Boho Braid, round breasts, Faux gauge earrings, cream, matte lipstick, Yellow Lace Halter Bralette and Thong Set
Gold, watch bracelet, Chanteuse, Average Height, Slim, Diamond-Shaped Face, Tan Skin, Brunette Hair, amber Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Tousled Waves, augmented breasts, Clip-on earrings, pink, matte lipstick, Silver Silk Bra and Panty Set with Garter Belt
Rhodium, anklet, Mistress, Tall, Thin, Oval Face, Olive Skin, Black Hair, hazel Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Bun, large breasts, Faux gauge earrings, beige, matte lipstick, White Satin and Lace Bra and Panty Set
Rhodium, pearl necklace, Mistress, Short, in shape, Square Face, Olive Skin, Auburn Hair, grey Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Fine Hair, Long Curly Hair, full breasts, Dangle earrings, cherry, matte lipstick, Blue Sheer Babydoll with Satin Trim
Beryllium, locket necklace, Seductress, Average Height, Firm, Heart-Shaped Face, Fair Skin, Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Loose Waves, natural breasts, Stud earrings, beige, metallic lipstick, Tan Faux Leather Slip Dress
Germanium, chain necklace, Phenom, Short, Athletic, Triangular Face, Fair Skin, Chestnut Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Straight Hair, Short Afro, full breasts, Threader earrings, nude, stain lipstick, Grey Faux Leather Corset 
Tantalum, bangle bracelet, Female Warrior, Short, Firm, Diamond-Shaped Face, Dark Skin, Auburn Hair, Hazel Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Loose Curls, small breasts, Faux gauge earrings, light pink, sheer lipstick, Gold Strappy Bodysuit
Iridium, vintage brooch, Charmer, Tall, Narrow Hips, Oval Face, Olive Skin, Golden Blonde Hair, Sapphire Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, French Twist, saggy breasts, Threader earrings, fuchsia, velvet lipstick, White Lace Bralette and Boyshorts Set
Gold, choker, Female Warrior, Short, Narrow Hips, Round Face, Fair Skin, Auburn Hair, teal Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Half Up Half Down, round breasts, Faux gauge earrings, mauve, velvet lipstick, Blue Satin and Lace Cami and Short Set
Rhodium, collar necklace, Artist, Tall, Athletic, Round Face, Tan Skin, Platinum Blonde Hair, brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Waterfall Braid, firm breasts, Dangle earrings, green, stain lipstick, Charcoal Sheer Bra and Panty Set
Tantalum, cocktail brooch, Chanteuse, Average Height, Slim, Oval Face, Fair Skin, Chestnut Hair, green Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Messy Beach Waves, round breasts, Cuff earrings, golden, cream lipstick, Olive Green Mesh Garter Belt with Stockings
Germanium, animal brooch, Queen, Tall, Lean, Round Face, Dark Skin, Blonde Hair, turquoise Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Tousled Waves, asymmetrical breasts, Faux gauge earrings, teal, stain lipstick, Green Silk Bralette and Panty Set
Gallium, watch bracelet, Trailblazer, Average Height, Toned, Round Face, Dark Skin, Dark Brown Hair, coral Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, natural breasts, Stud earrings, violet, sheer lipstick, White Sheer Teddy with Lace Trim
Platinum, ankle cuff, Gal, Tall, Toned, Square Face, Dark Skin, Gray Hair, gold Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Curly Hair, Wavy Updo, firm breasts, Huggie earrings, gloss, satin lipstick, Maroon Satin and Lace Corset 
Cadmium, ankle strap, Superwoman, Short, Slim, Oval Face, Fair Skin, Strawberry Blonde Hair, coral Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Curly Afro, perky breasts, Hoop earrings, brown, metallic lipstick, Crimson Velvet Cami and Short Set 
Indium, pearl necklace, Charmer, Tall, Wide Hips, Heart-Shaped Face, Fair Skin, Light Brown Hair, grey-blue Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, High Chignon, augmented breasts, Clip-on earrings, shimmer, velvet lipstick, Charcoal Sheer Bra and Panty Set
Indium, friendship bracelet, Vixen, Tall, Lean, Round Face, Olive Skin, Blonde Hair, Blue Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Side French Braid, perky breasts, Faux gauge earrings, terracotta, matte lipstick, Pink Floral Corset
Tantalum, choker, Luminary, Average Height, Slim, Triangular Face, Olive Skin, Auburn Hair, blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Messy Bun, saggy breasts, Clip-on earrings, orange, gloss lipstick, Turquoise Sheer Chemise with Cutouts
Iridium, collar necklace, Siren, Short, Athletic, Triangular Face, Tan Skin, Dark Brown Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Stacked Bob, round breasts, Faux gauge earrings, coral, sheer lipstick, Green Silk Bralette and Panty Set
Silver, tennis bracelet, Starlet, Short, Thin, Heart-Shaped Face, Olive Skin, Black Hair, Amber Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Straight Bob, small breasts, Dangle earrings, coral, cream lipstick, Lavender Lace Bra and Panty Set 
Beryllium, pendant, Gal, Average Height, Thin, Square Face, Tan Skin, Silver Hair, grey-blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Dutch Braid, large breasts, Huggie earrings, nude, gloss lipstick, Purple Velvet Slip with Lace Trim
Gallium, ankle strap, Superwoman, Tall, Skinny, Heart-Shaped Face, Tan Skin, Gray Hair, peach Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Long Straight Hair, round breasts, Cuff earrings, magenta, satin lipstick, Green Satin and Lace Garter Belt with Matching Thong
Silver, choker, Temptress, Tall, in shape, Heart-Shaped Face, Tan Skin, Blonde Hair, yellow Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Sleek Bun, firm breasts, Stud earrings, rose, cream lipstick, Red Satin Kimono with Lace Sleeve Detail
Gallium, bracelet, Countess, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, brown, cream lipstick, Purple Mesh Babydoll with Matching G-String
Beryllium, animal brooch, Seductress, Tall, Narrow Hips, Triangular Face, Fair Skin, Dark Brown Hair, coral Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Formal Braided Updo, round breasts, Hoop earrings, silver, velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Platinum, ankle cuff, Female Viking, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Chestnut Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Frohawk, small breasts, Clip-on earrings, shimmer, matte lipstick, Ivory Lace Teddy
Silver, friendship bracelet, Superwoman, Tall, Thin, Square Face, Tan Skin, Chestnut Hair, Sapphire Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Voluminous Waves, perky breasts, Huggie earrings, green, satin lipstick, Blue Strappy Bodysuit with Cutouts
Germanium, ankle cuff, Seductress, Average Height, Firm, Square Face, Fair Skin, Dark Brown Hair, jade Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Braided Headband, round breasts, Hoop earrings, fuchsia, matte lipstick, Navy Blue Satin Garter Belt with Suspenders 
Gold, chain necklace, Miss, Tall, Firm, Heart-Shaped Face, Dark Skin, Black Hair, light blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Long Straight Hair, full breasts, Threader earrings, beige, metallic lipstick, Charcoal Sheer Bra and Panty Set
Gallium, locket necklace, Sensation, Short, Firm, Triangular Face, Dark Skin, White Hair, Gray Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Side-Swept Bangs, saggy breasts, Huggie earrings, rose, metallic lipstick, Yellow Lace Garter Belt 
Rhenium, pendant, Sensation, Short, Firm, Heart-Shaped Face, Dark Skin, Blonde Hair, Gray Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Fringed Bangs, natural breasts, Dangle earrings, violet, stain lipstick, Blue Sheer Babydoll with Satin Trim
Osmium, tassel necklace, Female Viking, Tall, Thin, Square Face, Fair Skin, Dark Brown Hair, peach Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Curly Hair, Curly Afro, full breasts, Drop earrings, beige, stain lipstick, Black Leather Bralette and Panty Set
Osmium, bib necklace, Heiress, Average Height, Wide Hips, Oval Face, Olive Skin, Honey Blonde Hair, grey-blue Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Formal Updo, soft breasts, Stud earrings, light pink, gloss lipstick, Cream Sequin Bra and Pant Set
Rhenium, necklace, Madame, Average Height, Fit, Heart-Shaped Face, Dark Skin, Chestnut Hair, silver Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Bouncy Curls, perky breasts, Hoop earrings, black, sheer lipstick, Pink Lace Chemise with Ruffle Details
Rhodium, choker, Countess, Short, Slim, Diamond-Shaped Face, Dark Skin, Gray Hair, black Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Fishtail Braid, round breasts, Stud earrings, burgundy, stain lipstick, Charcoal Sheer Bra and Panty Set
Palladium, toe ring, Visionary, Tall, Thin, Diamond-Shaped Face, Tan Skin, White Hair, Gray Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, full breasts, Drop earrings, lavender, metallic lipstick, Pink Floral Corset
